operationId	HTTPメソッド	path	controller	service	認証	粗い認可(Security)	細かい認可(Service/Policy)	transaction	監査ログ	主なRepository	主な4xx	メモ
login	POST	/login	AuthController#login	AuthService#login	不要	permitAll	なし	なし	成功/失敗とも記録	UserRepository	401,422	成功時にaccess token発行
selectTenant	POST	/tenants/{tenantId}/select	AuthController#selectTenant	AuthService#selectTenant	要	authenticated	その user が切替先 tenant に所属しているか	なし	成功時に記録	TenantMembershipRepository	400,401,404	current_tenant_id入りtokenを再発行。membershipなしとtenant不存在は外部には404で丸める
createRequest	POST	/requests	RequestController#createDraft	RequestService#createDraft	要	authenticated	current tenant での、申請対象 internal organization に対する申請権限があるか	あり	成功時に記録	RequestRepository	401,403,422	下書き作成
listRequests	GET	/requests	RequestController#list	RequestService#list	要	authenticated	current tenant での、閲覧対象 request とその request が所属する internal organization に対する閲覧権限があること	readOnly	なし	RequestRepository	401,403
getRequest	GET	/requests/{requestId}	RequestController#get	RequestService#get	要	authenticated	current tenant での、閲覧対象 request とその request が所属する internal organization に対する閲覧権限があること	readOnly	なし	RequestRepository	401,403,404
updateRequestDraft	PATCH	/requests/{requestId}	RequestController#updateDraft	RequestService#updateDraft	要	authenticated	request と 申請者の current tenant が一致していることかつ、申請者本人かつ、対象 request が draft 状態か	あり	成功時に記録	RequestRepository	401,403,404,409,422
deleteRequestDraft	DELETE	/requests/{requestId}	RequestController#deleteDraft	RequestService#deleteDraft	要	authenticated	request と 申請者の current tenant が一致していることかつ、申請者本人かつ、対象 request が draft 状態か	あり	成功時に記録	RequestRepository	401,403,404
submitRequest	POST	/requests/{requestId}/submit	RequestController#submit	RequestService#submit	要	authenticated	request と 申請者の current tenant が一致していることかつ、申請者本人かつ、request が提出可能状態か	あり	成功時に記録	RequestRepository, AppliedApprovalRouteRepository	401,403,422	状態遷移あり
cancelRequest	POST	/requests/{requestId}/cancel	RequestController#cancel	RequestService#cancel	要	authenticated	request と 申請者の current tenant が一致していることかつ、申請者本人かつ、request がキャンセル可能状態か	あり	成功時に記録	RequestRepository	401,403,404,409
approveRequest	POST	/requests/{requestId}/approve	ApprovalController#approve	ApprovalService#approve	要	authenticated	request と 承認者の current tenant が一致していること、かつ、対象 request が承認可能状態(in_progress)かつ、承認者が request の current step の approver 集合に含まれていること	あり	成功時に記録	RequestRepository, ApprovalRepository, AppliedApprovalRouteRepository	401,403,404,422	approval履歴とrequest進行を更新
returnRequest	POST	/requests/{requestId}/return	ApprovalController#returnRequest	ApprovalService#returnRequest	要	authenticated	request と 承認者の current tenant が一致していること、かつ、対象 request が差し戻し可能状態(in_progress)かつ、承認者が request の current step の approver 集合に含まれていること	あり	成功時に記録	RequestRepository, ApprovalRepository, AppliedApprovalRouteRepository	401,403,404,409,422
rejectRequest	POST	/requests/{requestId}/reject	ApprovalController#reject	ApprovalService#reject	要	authenticated	request と 承認者の current tenant が一致していること、かつ、対象 request が却下可能状態(in_progress)かつ、承認者が request の current step の approver 集合に含まれていること	あり	成功時に記録	RequestRepository, ApprovalRepository, AppliedApprovalRouteRepository	401,403,404,409,422
listAuditLog	GET	/audit-logs	AuditLogController#list	AuditLogService#list	要	hasTenantAdminAuthority	current tenant での、tenant スコープの監査閲覧権限があるか	readOnly	なし	AuditLogRepository	401,403
getAuditLog	GET	/audit-logs/{auditLogId}	AuditLogController#get	AuditLogService#get	要	hasTenantAdminAuthority	current tenant での、tenant スコープの監査閲覧権限があるか	readOnly	なし	AuditLogRepository	401,403
deleteTenant	DELETE	/tenants/{tenantId}	TenantController#delete	TenantService#delete	要	hasTenantAdminAuthority	current tenant での、最上位 tenant 管理権限があるか	あり	成功時に記録	TenantRepository	401,403,404,409
createUser	POST	/users	UserController#create	UserService#create	要	hasTenantAdminAuthority	current tenant での、user 作成権限があるか	あり	成功時に記録	UserRepository	401,403,404,409,422
listUsers	GET	/users	UserController#list	UserService#list	要	hasTenantAdminAuthority	current tenant での、user 閲覧権限があるか	readOnly	なし	UserRepository	401,403
getUser	GET	/users/{userId}	UserController#get	UserService#get	要	hasTenantAdminAuthority	current tenant での、user 閲覧権限があるか	readOnly	なし	UserRepository	401,403,404
updateUser	PATCH	/users/{userId}	UserController#update	UserService#update	要	hasTenantAdminAuthority	current tenant での、user 更新権限があるか	あり	成功時に記録	UserRepository	401,403,404,409,422
