業務操作名	API群	主リソース	一文責務	呼び出し主体	対象	事前条件	状態変化	認証	認可	主要エラー	監査対象か
login	認証・コンテキスト群	認証情報	利用者を認証し、OrgFlow の利用を開始できる状態にする	未ログインの利用者	認証セッション	OrgFlow からログアウト状態であること	ログイン状態になる	未認証操作	不要	401	Yes（ログイン操作を記録）
current tenant 切替	認証・コンテキスト群	現在利用中のtenantのコンテキスト	認証済み利用者の current tenant コンテキストを、所属可能な tenant の中から 1 つに設定または変更する	ログイン済みの利用者	current tenant コンテキスト	認証済みで、切替先 tenant が存在すること	現在の tenant から選択した tenant へ current tenant が切り替わる	要認証	選択した tenant へ所属していること	401 / 403 / 404	Yes（current tenant 切替操作を記録）
request の下書き作成	request 群	request	申請者が、申請可能な internal organization を指定して、新しい request の下書きを 1 件作成する。	申請者	新規 request	ログイン済みで current tenant が選択済みであること	request が draft 状態で新規作成される	要認証	current tenant 内で、指定 internal organization に対する申請権限があること	401 / 403 / 404 / 409 / 422 / 500	Yes（request 作成として記録）
request の下書き更新	request 群	request	申請者が、draft 状態の request を指定して更新する。	申請者	draft 状態の request	対象 request が draft 状態であること	request が更新される（状態は draft 状態のまま）	要認証	更新対象 request が所属する internal organization にて申請権限があること	401 / 403 / 404 / 409	Yes（request 更新として記録）
request の下書き削除	request 群	request	申請者が、draft 状態の request を指定して削除する。	申請者	draft 状態の request	対象 request が draft 状態であること	request が物理削除される	要認証	削除対象 request が所属する internal organization にて request 削除権限を持つこと	401 / 403 / 404 / 409	Yes（request 削除として記録）
request の下書き提出	request 群	request	申請者が、draft 状態の request を指定し、1 件提出する。	申請者	draft 状態の request	対象 request が draft 状態であること	request が in_progress に変わる / 承認ルート適用結果が確定する / 初回の current step が決まる	要認証	current tenant 内で、指定 internal organization に対する申請権限があること	401 / 403 / 404 / 409 / 422	Yes（submit_request を 1 件記録）
request の即時提出	request 群	request	申請者が、申請可能な internal organization を指定して、新しい request を 1 件提出する。	申請者	新規 request	ログイン済みで current tenant が選択済みであること	request が新規に作成され、状態が in_progress に変わる / 承認ルート適用結果が確定する / 初回の current step が決まる	要認証	current tenant 内で、指定 internal organization に対する申請権限があること	401 / 403 / 404 / 409 / 422	Yes（submit_request を 1 件記録）
request 取消	request 群	request	申請者が、request.status が in_progress または returned 状態の request を指定し、request の取消を行う。	申請者	取消可能な request	対象 request の状態が in_progress または returned であること	request の状態が cancelled に変わる	要認証	取消対象 request が所属する internal organization にて request 取消権限を持つこと	401 / 403 / 404 / 409	Yes（request 取消を記録）
自分の request 一覧取得	request 群	request	申請者が、自身が作成した request を一覧で取得する。	申請者	current tenant 内の request 集合	current tenant が設定済みであること	変化なし	要認証	対象 request への閲覧権限	401 / 403	No
request 詳細取得	request 群	request	申請者が、自身が作成した request の詳細情報を取得する。	申請者	1 件の request	対象 request が存在すること	変化なし	要認証	current tenant 内で、その request を閲覧してよいこと	401 / 403 / 404	No
承認対象一覧取得	approval 群	request	承認者が、所属中の tenant 内で自身が承認対象となっている request を一覧で取得する。	承認者	current tenant 内の承認待ち request 集合	current tenant が設定済みであること	変化なし	要認証	対象 request への承認権限	401 / 403	No
approve	approval 群	request	承認者が、所属中の tenant 内の、自身が承認する対象の request を approve する。	承認者	判断対象の request	対象 request の状態が in_progress であること	approval 履歴が 1 件追加される / request の step が次に進む / 自身が最終段だった場合、request の状態が approved になる	要認証	current tenant 内で、対象 request の current step に対する承認権限を持つこと	401 / 403 / 404 / 409	Yes（approve を記録）
return	approval 群	request	承認者が、所属中の tenant 内の、自身が承認する対象の request を return する。	承認者	判断対象の request	対象 request の状態が in_progress であること	approval 履歴が 1 件追加される / request の状態が returned になる	要認証	current tenant 内で、対象 request の current step に対する承認権限を持つこと	401 / 403 / 404 / 409	Yes（return を記録）
reject	approval 群	request	承認者が、所属中の tenant 内の、自身が承認する対象の request を reject する。	承認者	判断対象の request	対象 request の状態が in_progress であること	approval 履歴が 1 件追加される / request の状態が rejected になる	要認証	current tenant 内で、対象 request の current step に対する承認権限を持つこと	401 / 403 / 404 / 409	Yes（reject を記録）
監査ログ一覧取得	audit 群	audit_log	tenant 管理者が、所属中の tenant の監査ログを一覧で取得する。	tenant 管理者	指定した tenant の audit_log	current tenant が設定済みであること	変化なし	要認証	current tenant への管理権限があること	401 / 403	No
tenant 削除	tenant 管理群	tenant	tenant 管理者が、所有している tenant を削除する。	tenant 管理者	tenant	対象の tenant が存在すること	tenant が論理削除される	要認証	current tenant への管理権限があること	401 / 403 / 404	Yes（tenant 削除を記録）
user 作成	tenant 管理群	user	管理者が、所属中の tenant 内に user を作成する。	tenant 管理者	user データ	user 登録先の tenant が存在していること	user が作成される	要認証	current tenant への管理権限があること	401 / 403 / 422	Yes（user 作成を記録）
user 更新	tenant 管理群	user	管理者が、所属中の tenant 内の user を更新する。	tenant 管理者	user データ	対象の user が存在していること	user が更新される	要認証	current tenant への管理権限があること	401 / 403 / 404 / 422	Yes（user 更新を記録）
user 削除	tenant 管理群	user	管理者が、所属中の tenant 内の user を削除する。	tenant 管理者	user データ	対象の user が存在していること	user が論理削除される	要認証	current tenant への管理権限があること	401 / 403 / 404	Yes（user 削除を記録）
user 一覧取得	tenant 管理群	user	管理者が、所属中の tenant 内の user を一覧で取得する。	tenant 管理者	user データ	current tenant が設定済みであること	変化なし	要認証	current tenant への管理権限があること	401 / 403	No
tenant internal_organization_role 付与	tenant 管理群	tenant_membership	管理者が、tenant membership に tenant internal_organization_role を付与する。	tenant 管理者	tenant membership データ	付与先の tenant membership が存在すること / tenant internal_organization_role 自体が存在すること / 同じ組み合わせが未存在であること	対象に tenant internal_organization_role が付与される	要認証	current tenant への管理権限があること	401 / 403 / 422	Yes（tenant membership internal_organization_role 付与を記録）
tenant internal_organization_role 剥奪	tenant 管理群	tenant_membership	管理者が、tenant membership から tenant internal_organization_role を剥奪する。	tenant 管理者	tenant membership データ	剥奪対象の tenant membership internal_organization_role の組み合わせが存在すること	対象から tenant internal_organization_role が剥奪される	要認証	current tenant への管理権限があること	401 / 403 / 404	Yes（tenant membership internal_organization_role 剥奪を記録）
tenant membership internal_organization_role 一覧取得	tenant 管理群	tenant_membership	管理者が、tenant membership に付与されている tenant internal_organization_role を一覧で取得する。	tenant 管理者	tenant membership データ	current tenant が設定済みであること	変化なし	要認証	current tenant への管理権限があること	401 / 403	No
internal organization 作成	internal organization 管理群	internal_organization	internal organization 管理者が、配下の internal organization を作成する。	internal organization 管理者	新規 internal organization	作成先配下に同名の internal organization が存在しないこと	internal organization が作成される	要認証	所属 internal organization への管理権限があること	401 / 403 / 422	Yes（internal organization 作成を記録）
internal organization 更新	internal organization 管理群	internal_organization	internal organization 管理者が、配下の internal organization の情報を更新する。	internal organization 管理者	1 件の internal organization	対象の internal organization が存在すること	internal organization 情報が更新される	要認証	所属 internal organization への管理権限があること	401 / 403 / 404 / 422	Yes（internal organization 更新を記録）
internal organization 削除	internal organization 管理群	internal_organization	internal organization 管理者が、配下の internal organization を削除する。	internal organization 管理者	1 件の internal organization	対象の internal organization が存在すること	internal organization が論理削除される	要認証	所属 internal organization への管理権限があること	401 / 403 / 404	Yes（internal organization 削除を記録）
internal organization へ user を追加	tenant 管理群	internal_organization	管理者が、所属中の tenant 内の internal organization に、同 tenant 内の user を所属させる。	tenant 管理者	internal organization membership データ	追加先の internal organization が存在していること / user 自体が存在すること / 同じ組み合わせが未存在であること	新規 internal organization membership が追加される	要認証	current tenant への管理権限があること	401 / 403 / 422	Yes（internal organization membership の新規作成を記録）
internal organization から user を削除	tenant 管理群	internal_organization	管理者が、所属中の tenant 内の internal organization の user を削除する。	tenant 管理者	internal organization membership データ	削除対象の membership の組み合わせが存在すること	internal organization membership が論理削除される	要認証	current tenant への管理権限があること	401 / 403 / 404	Yes（internal organization membership の論理削除を記録）
membership internal_organization_role 付与	internal organization 管理群	internal_organization_membership_role	管理者が、internal organization membership に membership internal_organization_role を付与する。	internal organization 管理者	internal organization membership データ	付与先の internal organization membership が存在すること / membership internal_organization_role 自体が存在すること / 同じ組み合わせが未存在であること	対象に membership internal_organization_role が付与される	要認証	所属 internal organization への管理権限があること	401 / 403 / 422	Yes（membership internal_organization_role 付与を記録）
membership internal_organization_role 剥奪	internal organization 管理群	internal_organization_membership_role	管理者が、internal organization membership から membership internal_organization_role を剥奪する。	internal organization 管理者	internal organization membership データ	剥奪対象の membership internal_organization_role の組み合わせが存在すること	対象から membership internal_organization_role が剥奪される	要認証	所属 internal organization への管理権限があること	401 / 403 / 404	Yes（membership internal_organization_role 剥奪を記録）
membership internal_organization_role 付与一覧取得	internal organization 管理群	internal_organization_membership_role	管理者が、internal organization membership に付与されている membership internal_organization_role を一覧で取得する。	internal organization 管理者	internal organization membership データ	対象の internal organization が存在すること	変化なし	要認証	所属 internal organization への管理権限があること	401 / 403	No
approval policy 作成	approval policy 管理群	approval_policy	管理者が、approval policy を作成する。	internal organization 管理者	approval policy データ	同名の approval policy が存在しないこと	approval policy が作成される	要認証	所属 internal organization への管理権限があること	401 / 403 / 422	Yes（approval policy 作成を記録）
approval policy 更新	approval policy 管理群	approval_policy	管理者が、approval policy を更新する。	internal organization 管理者	approval policy データ	対象の approval policy が存在すること	approval policy が更新される	要認証	所属 internal organization への管理権限があること	401 / 403 / 404 / 422	Yes（approval policy 更新を記録）
approval policy 削除	approval policy 管理群	approval_policy	管理者が、approval policy を削除する。	internal organization 管理者	approval policy データ	対象の approval policy が存在すること	approval policy が論理削除される	要認証	所属 internal organization への管理権限があること	401 / 403 / 404	Yes（approval policy 削除を記録）
approval policy 一覧取得	approval policy 管理群	approval_policy	管理者が、approval policy を一覧で取得する。	internal organization 管理者	approval policy データ	current tenant が設定済みであること	変化なし	要認証	所属 internal organization への管理権限があること	401 / 403	No
approval route 作成	approval route管理群	approval_route	管理者が、approval route を作成する。	internal organization 管理者	approval route データ	同名の approval route が存在しないこと	approval route が作成される	要認証	所属 internal organization への管理権限があること	401 / 403 / 422	Yes（approval route 作成を記録）
